source_name,source_url,source_publish_date,source_access_date,organization_name_raw,normalized_organization_name,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,confidence_score,gpo_name,gpo_confidence,is_confirmed_gpo_member,notes,extraction_method,created_at
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Emory Hospital Warner Robins,Emory Hospital Warner Robins,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Emory Hospital Warner Robins,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.015841
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Emory Hospital Perry,Emory Hospital Perry,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Emory Hospital Perry,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.015929
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Franciscan Missionaries of Our Lady Health (FMOL Health),Franciscan Missionaries of Our Lady Health (FMOL Health),hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Franciscan Missionaries of Our Lady Health (FMOL Health),1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016071
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Our Lady of Lourdes Health,Our Lady of Lourdes Health,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Our Lady of Lourdes Health,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016158
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Our Lady of the Angels Health,Our Lady of the Angels Health,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Our Lady of the Angels Health,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016243
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Our Lady of the Lake Health,Our Lady of the Lake Health,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Our Lady of the Lake Health,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016327
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,St. Dominic Health,St. Dominic Health,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: St. Dominic Health,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016410
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,St. Francis Health,St. Francis Health,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: St. Francis Health,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016492
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Greenwood Leflore Hospital,Greenwood Leflore Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Greenwood Leflore Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016683
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Lake Charles Memorial Health System,Lake Charles Memorial Health System,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Lake Charles Memorial Health System,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.016935
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Lake Charles Memorial Hospital,Lake Charles Memorial Hospital,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Lake Charles Memorial Hospital,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.017036
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Lake Charles Memorial Hospital for Women,Lake Charles Memorial Hospital for Women,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Lake Charles Memorial Hospital for Women,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.017123
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,Magnolia Regional Health Center,Magnolia Regional Health Center,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: Magnolia Regional Health Center,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.017265
Vizient Southern States Members Page,https://www.vizientsouthernstates.com/members,,2026-04-19,North Oaks Health System,North Oaks Health System,hospital,,,confirmed_member,Listed under confirmed member,Listed on Vizient SS members page: North Oaks Health System,1.0,Vizient,1.0,True,,html,2026-04-19T23:08:00.017402
