distributor_name,organization_name_raw,organization_type,city,state,relationship_type,relationship_description,evidence_text_short,source_url,source_name,source_publish_date,source_access_date,confidence_score,is_confirmed_relationship,extraction_method,notes,normalized_organization_name
Henry Schein,Viewmont Surgery Center,ASC,Hickory,NC,inferred_supply,Ambulatory Surgery Center served by Henry Schein medical products,Ambulatory Surgery Center served by Henry Schein medical products,https://www.henryschein.com/us-en/images/Medical/henryschein_asc_guide_2025.pdf,Henry Schein ASC Guide,2025-01-01,2026-04-19,0.6,False,segment_inference,Inferred based on segment focus,VIEWMONT SURGERY
Henry Schein,Youngstown Orthopedic Associates,ASC,Youngstown,OH,inferred_supply,Ambulatory Surgery Center served by Henry Schein medical products,Ambulatory Surgery Center served by Henry Schein medical products,https://www.henryschein.com/us-en/images/Medical/henryschein_asc_guide_2025.pdf,Henry Schein ASC Guide,2025-01-01,2026-04-19,0.6,False,segment_inference,Inferred based on segment focus,YOUNGSTOWN ORTHOPEDIC ASSOCIATES
Henry Schein,Graystone Eye,ASC,Hickory,NC,inferred_supply,Ambulatory Surgery Center served by Henry Schein medical products,Ambulatory Surgery Center served by Henry Schein medical products,https://www.henryschein.com/us-en/images/Medical/henryschein_asc_guide_2025.pdf,Henry Schein ASC Guide,2025-01-01,2026-04-19,0.6,False,segment_inference,Inferred based on segment focus,GRAYSTONE EYE
